replicon_name,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
NZ_CP111040.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Haladaptatus,s__Haladaptatus [species 0010]
NZ_CP119783.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001]
NZ_CP119784.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001]
NZ_CP119792.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001]
NZ_CP119798.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__KZCA124,s__KZCA124 sp017357405
NZ_CP119799.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__KZCA124,s__KZCA124 sp017357405
NZ_CP119806.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus [species 0012]
NZ_CP119813.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus [species 0014]
NZ_CP120471.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__,g__,s__[Genus] [species 0001]
NZ_CP126160.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halobaculum,s__Halobaculum [species 0021]
NZ_CP127175.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__,s__[Genus] [species 0013]
NZ_CP127176.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__,s__[Genus] [species 0013]
NZ_CP128378.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum
NZ_CP135524.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__KZCA124,s__KZCA124 sp017357405
NZ_CP135525.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__KZCA124,s__KZCA124 sp017357405
NZ_CP135526.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__KZCA124,s__KZCA124 sp017357405
NZ_LN831303.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium hubeiense
NZ_LN831304.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium hubeiense
NZ_MN918441.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloprofundus,s__Haloprofundus halophilus
NZ_MN918442.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloprofundus,s__Haloprofundus halophilus
NZ_QJOW01000005.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halosegnis,s__Halosegnis rubeus
NZ_QJOW01000006.1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halosegnis,s__Halosegnis rubeus
