archaea_family,bacteria_phylum,observed,expected,residual
Methanothermobacteraceae,Acidobacteriota,0,0.28,-0.531
Thermococcaceae,Deferribacterota,0,0.28,-0.531
Methanobacteriaceae,Campylobacterota,0,0.28,-0.533
Haladaptataceae,Campylobacterota,50,54.0,-0.544
Methanothermobacteraceae,Fusobacteriota,0,0.3,-0.545
GW2011-AR1,Desulfobacterota_F,0,0.31,-0.554
Halalkalicoccaceae,Desulfobacterota_F,2,2.95,-0.555
Methanosarcinaceae,Fusobacteriota,3,4.14,-0.561
Haloferacaceae,Chloroflexota,41,44.76,-0.561
GW2011-AR1,Campylobacterota,1,1.75,-0.564
,Verrucomicrobiota,0,0.32,-0.564
GW2011-AR1,Nitrospirota,0,0.32,-0.568
Nitrosopumilaceae,Fusobacteriota,0,0.32,-0.569
Haloferacaceae,Desulfobacterota,44,47.98,-0.575
Haloferacaceae,Myxococcota,2,3.01,-0.583
Nitrosopumilaceae,Bacillota_C,0,0.34,-0.583
Haloferacaceae,Bacillota_B,2,3.01,-0.583
Nitrosopumilaceae,Cyanobacteriota,1,1.78,-0.585
Natrialbaceae,Bacillota_B,2,3.02,-0.588
Halalkalicoccaceae,Acidobacteriota,8,9.85,-0.589
Haloferacaceae,Synergistota,4,5.38,-0.595
Natrialbaceae,Synergistota,4,5.4,-0.601
Methanosarcinaceae,Synergistota,0,0.38,-0.615
Halalkalicoccaceae,Nitrospirota,2,3.11,-0.627
Haladaptataceae,Nitrospirota,8,10.0,-0.631
Halalkalicoccaceae,Spirochaetota,13,15.49,-0.633
Natrialbaceae,Nitrospirota,15,17.7,-0.642
,Bacillota_E,0,0.43,-0.656
Halobacteriaceae,Actinomycetota,253,263.69,-0.658
Methanocaldococcaceae,Bacillota,5,6.71,-0.659
Haladaptataceae,Chloroflexota,22,25.35,-0.666
Methanocaldococcaceae,Planctomycetota,0,0.45,-0.67
Halococcaceae,Myxococcota,0,0.45,-0.67
Halococcaceae,Bacillota_B,0,0.45,-0.67
QS-9-68-17,Actinomycetota,132,140.07,-0.682
Haladaptataceae,Pseudomonadota,557,573.38,-0.684
,Synergistota,0,0.47,-0.684
Halococcaceae,Actinomycetota,97,103.97,-0.684
Halalkalicoccaceae,Bacillota_A,44,48.86,-0.695
Methanocaldococcaceae,Chloroflexota,0,0.49,-0.701
Halobacteriaceae,Deinococcota,155,164.16,-0.715
Halalkalicoccaceae,Bacillota_B,0,0.53,-0.728
Halalkalicoccaceae,Myxococcota,0,0.53,-0.728
Halococcaceae,Verrucomicrobiota,0,0.55,-0.738
Nitrosopumilaceae,Bacillota,2,3.35,-0.739
QS-9-68-17,Desulfobacterota_F,2,3.37,-0.746
Haloferacaceae,Bacillota_A,265,277.57,-0.754
GW2011-AR1,Chlamydiota,0,0.59,-0.771
Methanothermobacteraceae,Bacteroidota,1,2.13,-0.772
Haloarculaceae,Bacillota_E,3,4.67,-0.774
Methanocaldococcaceae,Acidobacteriota,0,0.61,-0.784
